Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TNF-alpha Signaling via NF-kB	78/200	2.887693425310144E-67	1.4438467126550719E-65	0	0	24.428014932640806	3742.683178024599	BTG2;CDKN1A;BTG1;CSF1;TNFAIP6;PLEK;TNFAIP3;IRS2;SLC2A3;CXCL3;TNF;SAT1;CXCL2;ETS2;ICAM1;IFIT2;CCND1;PLAU;KYNU;CCRL2;SLC16A6;PDE4B;OLR1;JUNB;PHLDA1;IER3;DUSP4;KDM6B;KLF10;DUSP2;EDN1;TSC22D1;PLAUR;FOS;F3;GEM;IL1B;IRF1;PLPP3;SGK1;ATF3;HBEGF;BIRC3;PTGER4;BCL2A1;PTGS2;SOCS3;DRAM1;CCL5;CCL4;CCL2;HES1;EGR1;JUN;EGR3;GADD45B;CCL20;PLK2;TNFRSF9;G0S2;INHBA;SOD2;KLF4;PNRC1;FOSL2;NFKBIA;NR4A2;NR4A1;CXCL10;CXCL11;KLF6;MARCKS;NR4A3;ID2;GPR183;TNFSF9;PTX3;IL7R
Interferon Gamma Response	55/200	4.6465401395310996E-38	7.744233565885167E-37	0	0	13.844827586206897	1190.130600856043	IFITM3;CDKN1A;IFITM2;BTG1;TNFAIP6;TNFAIP3;IFIT1;IFIT3;IFI44L;IFIT2;ICAM1;OASL;MT2A;TNFSF10;EPSTI1;PIM1;PDE4B;CD38;UPP1;RSAD2;ARID5B;PLSCR1;IFI27;OAS2;IRF4;IRF1;PELI1;PSME2;TXNIP;CFB;IDO1;LY6E;FGL2;CSF2RB;PTGS2;SOCS3;HLA-DMA;SOCS1;CCL7;CCL5;SLAMF7;CCL2;HLA-DQA1;CD74;IL10RA;MX1;ISG15;PARP14;SOD2;ISG20;NFKBIA;CXCL10;CXCL11;XAF1;HLA-DRB1
Inflammatory Response	55/200	4.6465401395310996E-38	7.744233565885167E-37	0	0	13.844827586206897	1190.130600856043	CDKN1A;BTG2;CXCL8;CSF1;TNFAIP6;AQP9;ADM;ICAM1;RGS1;CCRL2;CLEC5A;TNFSF10;PDE4B;PROK2;OLR1;ITGB8;CCR7;FFAR2;TIMP1;EDN1;IL1R1;PLAUR;CYBB;EMP3;F3;EREG;IL1B;IRF1;MET;HBEGF;LY6E;PTGER4;RGS16;PTAFR;C5AR1;SLC1A2;CCL7;CCL5;CCL2;CD14;MSR1;CCL22;TNFSF15;CCL20;CD70;IL10RA;TNFRSF9;INHBA;NFKBIA;CXCL10;CXCL11;KLF6;GPR183;TNFSF9;IL7R
Apoptosis	37/161	6.400826499152318E-23	8.001033123940398E-22	0	0	10.54355724920241	538.8077225850194	IFITM3;CDKN1A;BTG2;HMGB2;TNF;CLU;SAT1;LGALS3;CCND2;BCL2L11;CCND1;TNFSF10;PMAIP1;HMOX1;TIMP3;CD38;IGFBP6;CD14;TIMP1;IER3;JUN;EGR3;ANXA1;GSN;GADD45B;IFNB1;EMP1;SOD2;IGF2R;EREG;ISG20;DDIT3;IL1B;IRF1;TXNIP;ATF3;BIRC3
KRAS Signaling Up	40/200	2.787533561433834E-22	2.787533561433834E-21	0	0	8.866022099447514	440.0358808636187	ADAMDEC1;RGS16;CXCR4;TNFAIP3;GLRX;PTGS2;IL2RG;CSF2RA;HSD11B1;CCND2;PLAU;CA2;SPP1;FCER1G;CCL20;TMEM176B;IL10RA;TMEM176A;PLAUR;EMP1;G0S2;PPBP;INHBA;KLF4;MMP9;DUSP6;MMP10;EREG;CLEC4A;CXCL10;ID2;IL1B;ALDH1A2;SCG5;TLR8;LCP1;IL7R;CFB;HBEGF;BIRC3
Hypoxia	35/200	1.0682905241931672E-17	7.630646601379766E-17	0	0	7.452112364521124	291.21280378136026	CDKN1C;CDKN1A;BTG1;SDC2;CXCR4;TNFAIP3;ADM;IRS2;SLC2A3;GLRX;RBPJ;MT2A;CSRP2;PIM1;HMOX1;GPC4;IER3;TGM2;JUN;HSPA5;PLAUR;FOS;F3;PNRC1;FOSL2;EXT1;ISG20;KLF6;DDIT3;PLIN2;S100A4;TGFBI;FBP1;ATF3;MT1E
Complement	35/200	1.0682905241931672E-17	7.630646601379766E-17	0	0	7.452112364521124	291.21280378136026	CDA;C1QA;CPM;PLEK;TNFAIP3;CLU;C3;LGALS3;CTSL;CA2;KYNU;CCL5;S100A13;PIM1;OLR1;CTSH;LTA4H;TIMP1;CD36;CTSC;FCER1G;HSPA5;PLAUR;GZMB;F3;DUSP6;MMP12;PLSCR1;IRF1;FDX1;APOC1;S100A9;CFB;LGMN;C1QC
IL-2/STAT5 Signaling	34/199	6.773747313641266E-17	4.2335920710257916E-16	0	0	7.226008721090689	269.0307512223632	IFITM3;CDKN1C;RNH1;AHNAK;CSF1;RGS16;FGL2;SLC2A3;CST7;ALCAM;CCND2;SOCS1;CA2;NFKBIZ;TNFSF10;SPP1;PIM1;TNFRSF4;PHLDA1;TGM2;GADD45B;IL1R2;IL10RA;TNFRSF9;TNFRSF18;EMP1;IGF2R;CXCL10;PLSCR1;KLF6;IRF4;IL3RA;COL6A1;PLIN2
p53 Pathway	34/200	7.94236476803039E-17	4.412424871127994E-16	0	0	7.182105471064586	266.25311450188605	CDKN1A;BTG2;BTG1;RRAD;RGS16;TCHH;RPS27L;SLC7A11;SAT1;ZFP36L1;LDHB;CCND2;SOCS1;DRAM1;RACK1;HMOX1;UPP1;IER3;S100A10;PHLDA3;JUN;TSC22D1;PLK2;FOS;KLF4;TM4SF1;DDIT3;MDM2;TXNIP;TNFSF9;S100A4;NUPR1;ATF3;HBEGF
IL-6/JAK/STAT3 Signaling	23/87	3.56485365303724E-16	1.78242682651862E-15	0	0	12.419614955357142	441.76866586538375	JUN;CSF1;IL1R1;IL1R2;CSF2RB;CXCL3;IL2RG;TNF;CSF2RA;SOCS3;CXCL10;CXCL11;SOCS1;CCL7;IL1B;IRF1;IL3RA;PIM1;CD38;HMOX1;CD36;CD14;A2M
